"","Year","ID1","code","ASAL","AvgTemp_MarMay","SDTemp_MarMay","Cum_DD_MarMay","HeatWDays_MarMay","MaxTemp_MarMay","AvgTemp_MarAug","SDTemp_MarAug","Cum_DD_MarAug","HeatWDays_MarAug","MaxTemp_MarAug","AvgTemp_OctDec","SDTemp_OctDec","Cum_DD_OctDec","HeatWDays_OctDec","MaxTemp_OctDec","SeasRain_MarMay","Prec2Months_MarMay","PrecStDev_MarMay","PrecCoefVar_MarMay","DrySpell_MarMay","DrSpell10_MarMay","DrSpell20_MarMay","MaxRain_MarMay","SeasRain_MarAug","Prec2Months_MarAug","PrecStDev_MarAug","PrecCoefVar_MarAug","DrySpell_MarAug","DrSpell10_MarAug","DrSpell20_MarAug","MaxRain_MarAug","SeasRain_OctDec","Prec2Months_OctDec","PrecStDev_OctDec","PrecCoefVar_OctDec","DrySpell_OctDec","DrSpell10_OctDec","DrSpell20_OctDec","MaxRain_OctDec","DrySpell4_MAM","DrySpell4_MAMJJA","DrySpell4_OND","HeatWDays_Mar","HeatWDays_Apr","HeatWDays_May","HeatWDays_Jun","HeatWDays_Jul","HeatWDays_Aug","HeatWDays_Sep","HeatWDays_Oct","HeatWDays_Nov","HeatWDays_Dec","DrySpell10_Mar","DrySpell4_Mar","DrySpell10_Apr","DrySpell4_Apr","DrySpell10_May","DrySpell4_May","DrySpell10_Jun","DrySpell4_Jun","DrySpell10_Jul","DrySpell4_Jul","DrySpell10_Aug","DrySpell4_Aug","DrySpell10_Sep","DrySpell4_Sep","DrySpell10_Oct","DrySpell4_Oct","DrySpell10_Nov","DrySpell4_Nov","DrySpell10_Dec","DrySpell4_Dec","name","Admin1","county","Admin2","Area","Yield","MT","west1","AvgTemp_OctDec_L1","SDTemp_OctDec_L1","Cum_DD_OctDec_L1","HeatWDays_OctDec_L1","MaxTemp_OctDec_L1","SeasRain_OctDec_L1","Prec2Months_OctDec_L1","PrecStDev_OctDec_L1","PrecCoefVar_OctDec_L1","DrySpell_OctDec_L1","DrSpell10_OctDec_L1","DrSpell20_OctDec_L1","MaxRain_OctDec_L1","DrySpell4_OND_L1","HeatWDays_Sep_L1","HeatWDays_Oct_L1","HeatWDays_Nov_L1","HeatWDays_Dec_L1","DrySpell10_Sep_L1","DrySpell4_Sep_L1","DrySpell10_Oct_L1","DrySpell4_Oct_L1","DrySpell10_Nov_L1","DrySpell4_Nov_L1","DrySpell10_Dec_L1","DrySpell4_Dec_L1"
"16-2002","2002","16",51351,1,23.3,0.9,2148,0,29.1,22,1.7,4040,0,27.2,22.5,0.7,2067.6,0,28.1,250.9,198.7,8.2,3,19.1,2.1,1,50.5,267,198.7,5.9,4.1,60.6,3.6,1.7,50.5,413.5,216.7,13,2.9,17.7,2,0.3,75.5,7.1,11.1,6.9,0,0,0,0,0,0,0,0,0,0,0.7,2.6,0.3,2.6,1,2,1.1,2,0.9,2,1,2.2,1.2,1.9,0.8,2.4,0.4,2.8,0.7,1.7,"Makueni","Eastern","Makueni","Makueni",91500,0.52,47655,0,22.7,0.7,2084,0,28.2,344.2,281.9,17.3,4.7,23.7,2,0.7,138.1,5.9,0,0,0,0,1.2,1.4,1,2.4,0.8,1.5,0.4,2.1
"16-2003","2003","16",51351,1,23.8,1.2,2193.9,0,29.2,22.2,1.9,4083.7,0,27.3,23.3,0.6,2141.5,0,28.3,215.2,154.6,7.3,3.1,23,2.9,2.1,49.4,229.7,154.6,5.3,4.2,59.8,5.7,3.4,49.4,180.6,122.1,5.8,3,24.9,2,1.1,41.8,4.7,7.5,6,0,0,0,0,0,0,0,0,0,0,1,1.3,0.9,1.6,1,1.6,1,1.6,1,1.5,1.5,2.5,1.2,1.5,1.1,1.6,0.4,1.7,0.4,2.7,"Makueni","Eastern","Makueni","Makueni",88000,0.28,24462,0,22.5,0.7,2067.6,0,28.1,413.5,216.7,13,2.9,17.7,2,0.3,75.5,6.9,0,0,0,0,1.2,1.9,0.8,2.4,0.4,2.8,0.7,1.7
"16-2004","2004","16",51351,1,23.5,0.9,2161,0,29,22,1.6,4054.3,0,27.4,23,0.7,2115.1,0,27.4,214.6,197.1,7.3,3.1,18.2,3.4,0.3,44.4,224.6,197.1,5.3,4.3,64.6,5.3,1.4,44.4,274.1,163.4,9.8,3.3,21.6,2.9,0.3,57.8,5.7,8.7,6.9,0,0,0,0,0,0,0,0,0,0,1.9,2,0.3,1.9,0.8,2.2,1.1,1.8,1,1.7,1.3,1.4,1.2,1.4,0.3,3.7,1.1,2.6,1,1.9,"Makueni","Eastern","Makueni","Makueni",1e+05,0.4,39603.96,0,23.3,0.6,2141.5,0,28.3,180.6,122.1,5.8,3,24.9,2,1.1,41.8,6,0,0,0,0,1.2,1.5,1.1,1.6,0.4,1.7,0.4,2.7
"16-2005","2005","16",51351,1,24,1.1,2210.9,0,28.5,22.3,2,4098.5,0,27.3,23.3,0.5,2148.2,0,28,215.8,184,6.8,2.9,19.7,3.2,0.4,44.4,227.9,184,4.9,4,53.3,5.5,2.4,44.4,136.9,112,4,2.8,19.5,2.2,0.4,25.8,5.4,8.6,6.9,0,0,0,0,0,0,0,0,0,0,1,2,0.8,1.7,0.7,1.9,1,1.2,1,1.4,1,1.6,1,1.3,0.9,2.9,0.1,2.2,1,2.3,"Makueni","Eastern","Makueni","Makueni",87000,0.13,11251.13,0,23,0.7,2115.1,0,27.4,274.1,163.4,9.8,3.3,21.6,2.9,0.3,57.8,6.9,0,0,0,0,1.2,1.4,0.3,3.7,1.1,2.6,1,1.9
"16-2006","2006","16",51351,1,23.3,0.9,2142.7,0,28.6,22,1.5,4052.6,0,27,22.6,0.6,2078,0,28.3,320.9,272,8.9,2.6,15.5,2.1,0.1,48.5,332,272,6.5,3.6,63.5,4.1,1.7,48.5,658.2,365.8,14.4,2,16.3,1.5,0.5,79.2,7.1,9.9,4.8,0,0,0,0,0,0,0,0,0,0,0.9,2.3,0.3,3,1,2,1.3,1.7,1.1,1.6,1.1,1.7,1,1.2,0.9,2.5,0.3,1.2,0.3,1.1,"Makueni","Eastern","Makueni","Makueni",85487,0.31,26552.03,0,23.3,0.5,2148.2,0,28,136.9,112,4,2.8,19.5,2.2,0.4,25.8,6.9,0,0,0,0,1,1.3,0.9,2.9,0.1,2.2,1,2.3
"16-2007","2007","16",51351,1,23.6,1,2173.7,0,28.7,22.1,1.7,4074.1,0,27.4,22.8,0.5,2096.1,0,26.6,148.5,112.4,5.2,3.3,23.8,2.6,0.8,31.1,162.9,112.4,3.7,4.4,56.5,5.1,2,31.1,226.8,140.5,8.8,3.6,21.3,2.1,0.6,60.8,5.7,9.1,6.8,0,0,0,0,0,0,0,0,0,0,1.1,2.1,0.4,2.6,0.9,1.9,1.1,1.5,1,1.2,1.5,1.7,1.2,1.4,0.9,2.4,0.4,2.5,0.5,2.5,"Makueni","Eastern","Makueni","Makueni",85487,0.62,52618.5,0,22.6,0.6,2078,0,28.3,658.2,365.8,14.4,2,16.3,1.5,0.5,79.2,4.8,0,0,0,0,1,1.2,0.9,2.5,0.3,1.2,0.3,1.1
"16-2008","2008","16",51351,1,22.8,1.1,2101.3,0,28.4,21.5,1.6,3958.6,0,26.9,23.2,0.6,2134.3,0,28.5,274.6,257.5,7.5,2.6,17.5,2.1,0.2,42.3,286.9,257.5,5.5,3.6,55.7,4.6,1.5,42.3,204.5,165.6,8.1,3.6,37.5,2.2,1,48.1,6.9,10.9,6.6,0,0,0,0,0,0,0,0,0,0,0.7,1.7,0.4,2.9,0.8,3.2,1.2,2,1,1.7,1.4,1.7,1,1.4,0.9,3.5,1,2,1,2,"Makueni","Eastern","Makueni","Makueni",89194.8,0.41,36569.87,0,22.8,0.5,2096.1,0,26.6,226.8,140.5,8.8,3.6,21.3,2.1,0.6,60.8,6.8,0,0,0,0,1.2,1.4,0.9,2.4,0.4,2.5,0.5,2.5
"16-2009","2009","16",51351,1,24.1,1.1,2221,0,28.6,22.6,1.9,4151.5,0,27.1,23,0.6,2120.6,0,27.4,122.8,95.9,4.9,3.7,23.6,3.2,1,33.8,135.8,95.9,3.5,4.9,58.8,6.1,2.1,33.8,339.2,156.5,7.9,2.1,11.5,0.8,0,43.1,6,9.3,6.5,0,0,0,0,0,0,0,0,0,0,1.2,1.6,0.9,2.3,1,2,1.5,1.7,1,2,1.3,1.8,1.1,1.3,0.6,2.2,0.2,2.4,0,1.9,"Makueni","Eastern","Makueni","Makueni",81354,0.8,65081.89,0,23.2,0.6,2134.3,0,28.5,204.5,165.6,8.1,3.6,37.5,2.2,1,48.1,6.6,0,0,0,0,1,1.4,0.9,3.5,1,2,1,2
"16-2010","2010","16",51351,1,23.6,0.8,2167.9,0,28.9,22.2,1.6,4079.2,0,27.5,23.1,0.6,2123.5,0,29,312.7,276.1,8.7,2.5,16.8,2.2,0.2,48.7,324.7,276.1,6.4,3.6,64.2,4.5,1.7,48.7,262.9,172.9,10.6,3.7,22.5,2.3,2,82.1,6.2,8.9,5.2,0,0,0,0,0,0,0,0,0,0,0.8,1.1,0.9,2,0.5,2.6,1.1,1.5,1.1,1.3,1.2,1.6,1.1,1.3,0.7,2,0.6,1.6,1,2,"Makueni","Eastern","Makueni","Makueni",86360,0.55,47538.9,0,23,0.6,2120.6,0,27.4,339.2,156.5,7.9,2.1,11.5,0.8,0,43.1,6.5,0,0,0,0,1.1,1.3,0.6,2.2,0.2,2.4,0,1.9
"16-2011","2011","16",51351,1,23.8,0.9,2185.9,0,29.8,22.5,1.5,4148.4,0,28.4,23.1,0.7,2121.3,0,28.5,188.8,159,6.6,3.2,18.7,3.5,0.4,40.1,199.8,159,4.8,4.4,58.9,5.8,2.7,40.1,342.6,284.4,9.4,2.5,23.9,1.6,1.4,54.4,6.6,8.9,5.6,0,0,0,0,0,0,0,0,0,0,1,1.7,1.1,2.6,1.4,2.8,1.2,1.4,1,1.3,1.1,1.7,1,1.7,1.1,1.1,0,1.9,0.5,2.3,"Makueni","Eastern","Makueni","Makueni",113395,0.46,52030.8,0,23.1,0.6,2123.5,0,29,262.9,172.9,10.6,3.7,22.5,2.3,2,82.1,5.2,0,0,0,0,1.1,1.3,0.7,2,0.6,1.6,1,2
"16-2012","2012","16",51351,1,23.6,1.1,2174.4,0.3,29.7,22.2,1.7,4090.1,0.3,28,23.1,0.7,2124,0,28.7,299.3,260.5,9.1,2.8,25.4,2.6,1.3,61.4,317,260.5,6.6,3.9,54.8,5.8,2.7,61.4,300,166.3,10.9,3.4,17.8,2.7,0.2,73.5,5.7,9.1,7.3,0.3,0,0,0,0,0,0,0,0,0,1,1,0.1,2.3,1.5,2.4,1,1.8,1.2,1.8,1.4,2.7,1,1.3,1.1,3,1,2.2,0.7,2.1,"Makueni","Eastern","Makueni","Makueni",102825,0.71,73108.58,0,23.1,0.7,2121.3,0,28.5,342.6,284.4,9.4,2.5,23.9,1.6,1.4,54.4,5.6,0,0,0,0,1,1.7,1.1,1.1,0,1.9,0.5,2.3
"16-2013","2013","16",51351,1,23.4,1.3,2150.4,0,28.9,21.9,1.8,4023.1,0,27.3,22.9,0.7,2108.1,0,28.7,298.5,276.9,7.7,2.4,23.5,1.8,0.8,38.7,311.5,276.9,5.6,3.3,61,3.8,1.9,38.7,301.6,166.6,10.2,3.2,20.4,3,0.5,62.2,6.6,9.8,6.6,0,0,0,0,0,0,0,0,0,0,0.5,2.8,0.9,1.2,0.6,3.4,1.1,2,1.1,1.8,1.1,1.8,1,1.1,1.4,2.9,0.3,2.8,1,2.1,"Makueni","Eastern","Makueni","Makueni",183338,0.46,84152.14,0,23.1,0.7,2124,0,28.7,300,166.3,10.9,3.4,17.8,2.7,0.2,73.5,7.3,0,0,0,0,1,1.3,1.1,3,1,2.2,0.7,2.1
"16-2014","2014","16",51351,1,23.3,1,2142.7,0,28.9,22.2,1.4,4080.5,0,27.7,23.2,0.8,2135.9,0,29.1,198.7,178.1,6.8,3.2,23.2,1.9,0.5,46.6,215.4,178.1,4.9,4.3,49,4.5,1.8,46.6,279.6,173.1,13.8,4.6,25.8,3.1,1.3,104,7.2,12,6,0,0,0,0,0,0,0,0,0,0,0.6,2.7,0.6,2.6,0.8,2.9,1.1,2.3,1.2,2.2,1.2,1.9,1,1.7,1,2.5,1,1.9,0.9,1.5,"Makueni","Eastern","Makueni","Makueni",181089,0.44,79860.25,0,22.9,0.7,2108.1,0,28.7,301.6,166.6,10.2,3.2,20.4,3,0.5,62.2,6.6,0,0,0,0,1,1.1,1.4,2.9,0.3,2.8,1,2.1
"19-1981","1981","19",51361,1,28,1,2473.1,1.4,32.9,27,1.3,4868.4,1.4,31.6,28.1,0.7,2560,0,32.1,347.5,274.1,6.1,1.6,17.1,0.8,0.5,29,412.4,274.1,4.9,2.3,49.9,2.9,1.6,29.1,119.3,94.6,3.3,2.7,22.4,3,0.8,17.6,3.5,7.6,5.4,1.3,0.1,0,0,0,0,0,0,0,0,0.1,1.2,0,1.4,0.6,0.8,0.9,1.4,1,1.5,1.3,2.2,1.2,2.4,1,1.9,0.2,2.5,0.8,2.2,"Garissa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19-1982","1982","19",51361,1,28.2,1,2416,1,32.9,27.1,1.4,4804.4,1,31.1,27.5,0.7,2525.6,0,32.1,275.4,157.3,6.7,2.4,27.5,1.5,1.4,36,347.3,157.3,5.1,3.2,59.1,3.6,1.8,36,285.9,248.4,6.8,2.2,14,1.4,0.2,33.9,5.5,9.2,7.3,0.9,0.1,0,0,0,0,0,0,0,0,1,1.5,0.1,2.6,0.5,1.4,0.7,1.4,1,2.1,1,2,0.9,1.8,0.5,2.3,0.2,2.3,0.6,2.6,"Garissa","North Eastern","Garissa","Garissa",62.42,0.9,56.18,0,28.1,0.7,2560,0,32.1,119.3,94.6,3.3,2.7,22.4,3,0.8,17.6,5.4,0,0,0,0,1.2,2.4,1,1.9,0.2,2.5,0.8,2.2
"19-1983","1983","19",51361,1,29.3,1.1,1749.5,3,33.5,28.1,1.5,4214.3,3,32.3,28.3,0.6,2577.6,0,32.5,189.9,82.4,6.3,3.4,26.7,2.5,1.1,38.3,264.4,82.4,4.9,4.2,55.3,4.6,1.6,38.4,102.9,67.4,3.8,3.5,22.5,2.8,1.1,24.8,5.4,9.8,6.5,2.4,0.7,0,0,0,0,0,0,0,0,1.5,1.9,0.6,2.3,0.9,1.5,1,1.6,0.9,2.3,1.1,1.9,0.7,2.8,1,2,0.7,1.9,1,2.2,"Garissa","North Eastern","Garissa","Garissa",97.5,0.9,87.75,0,27.5,0.7,2525.6,0,32.1,285.9,248.4,6.8,2.2,14,1.4,0.2,33.9,7.3,0,0,0,0,0.9,1.8,0.5,2.3,0.2,2.3,0.6,2.6
"19-1984","1984","19",51361,1,28.9,1,2184.2,2.1,33.2,27.3,1.8,4552.3,2.1,31.6,27.1,0.5,2493.9,0,32,150.7,90.2,3.6,2.7,25,2.1,0.9,19.7,227.9,90.2,3.4,3.7,60.9,3.8,1.5,26.7,309,261.9,7.3,2.2,17.8,2.1,0.3,39.8,5.5,9.6,5.9,1.3,0.8,0,0,0,0,0,0,0,0,1.1,2,0.1,1.6,0.6,1.8,0.8,1.8,0.7,2.5,1.3,1.4,1.4,2,1,2.4,0,0.9,1,2.7,"Garissa","North Eastern","Garissa","Garissa",200,1.8,360,0,28.3,0.6,2577.6,0,32.5,102.9,67.4,3.8,3.5,22.5,2.8,1.1,24.8,6.5,0,0,0,0,0.7,2.8,1,2,0.7,1.9,1,2.2
"19-1985","1985","19",51361,1,28.1,0.9,2533,1.3,32.6,27,1.3,4916,1.3,31.4,27.7,0.7,2552.5,0,32.3,241.6,150.1,6.5,2.6,24.4,2,1.2,38.9,299.7,150.1,5,3.4,57.1,3.5,2.1,39.1,102.8,76.5,3.2,2.9,23.1,2.5,0.9,19.7,5.7,9.7,5.9,1.2,0.1,0,0,0,0,0,0,0,0,1,1.7,0,2.2,1,2,0.7,1.8,0.9,1.8,1,1.7,0.7,2.4,0.8,2.3,0.4,2.1,1.1,1.6,"Garissa","North Eastern","Garissa","Garissa",225.5,1.08,243.6,0,27.1,0.5,2493.9,0,32,309,261.9,7.3,2.2,17.8,2.1,0.3,39.8,5.9,0,0,0,0,1.4,2,1,2.4,0,0.9,1,2.7
"19-1986","1986","19",51361,1,28.4,1.2,2327.2,2.3,33,27.1,1.6,4707.2,2.3,31.5,28,0.7,2560,0,32.6,321.5,186.6,9,2.5,20.8,2.1,0.7,58.3,373.8,186.6,6.7,3.4,59,3.8,1.5,58.3,216.1,126.5,5.6,2.4,21.3,2.3,0.9,32.1,5.7,10,5.3,2.2,0.1,0,0,0,0,0,0,0,0,1.2,2.6,0.2,1.6,0.7,1.9,1,1.7,0.9,2,1,1.7,1.1,2.4,1,1.9,0.4,1.9,0.7,2.3,"Garissa","North Eastern","Garissa","Garissa",371.4,0.9,334.65,0,27.7,0.7,2552.5,0,32.3,102.8,76.5,3.2,2.9,23.1,2.5,0.9,19.7,5.9,0,0,0,0,0.7,2.4,0.8,2.3,0.4,2.1,1.1,1.6
"19-1987","1987","19",51361,1,29.3,1,1955.7,3.1,33.8,27.8,1.8,4371.9,3.1,32.3,28.7,0.5,2605,0,33,232.2,105.2,7.3,3,22.2,2.3,0.7,45.5,313.9,105.2,5.8,3.8,57.7,4.3,1.6,46.5,101.1,88.5,3.6,3.4,26.1,3,1.5,21.8,6.5,10.3,6.6,1.9,1.1,0.1,0,0,0,0,0,0,0,1.1,2.8,0,2.8,0.7,2.2,1,1.5,0.6,2.2,1,1.6,1,1.8,1.1,2.1,0.7,3.2,1,1.5,"Garissa","North Eastern","Garissa","Garissa",93,0.3,27.45,0,28,0.7,2560,0,32.6,216.1,126.5,5.6,2.4,21.3,2.3,0.9,32.1,5.3,0,0,0,0,1.1,2.4,1,1.9,0.4,1.9,0.7,2.3
"19-1988","1988","19",51361,1,28.9,1.1,2093.6,2.7,33.7,27.7,1.5,4528.7,2.7,32.4,27.6,0.6,2540,0,32.3,239.1,191.1,5.4,2.2,20.9,1.5,0.6,28.7,304.6,191.1,4.4,3,62.2,3.6,1.4,30.1,257.8,149.5,6.4,2.4,22,2.3,0.8,38,5,8,5.1,2.1,0.6,0,0,0,0,0,0,0,0,0.6,2.1,0,1.4,0.6,1.5,0.8,1.7,1.3,2,1,1,1.5,2.1,1.1,2.1,0.3,1.8,0.6,1.9,"Garissa","North Eastern","Garissa","Garissa",300,0.8,240.05,0,28.7,0.5,2605,0,33,101.1,88.5,3.6,3.4,26.1,3,1.5,21.8,6.6,0,0,0,0,1,1.8,1.1,2.1,0.7,3.2,1,1.5
"19-1989","1989","19",51361,1,28.1,1,2504.4,1.2,32.8,27,1.4,4885.5,1.2,31.6,27.2,0.6,2504.4,0,32.3,189.2,134.2,5.5,2.7,18.6,3.3,0.5,32,227.6,134.2,4.2,3.6,61.8,4.6,1.4,32,301.2,256.7,7.3,2.3,20.8,2,0.7,40.9,6,10.2,4.7,1.1,0.1,0,0,0,0,0,0,0,0,1.4,2.8,0.8,1.4,0.9,1.8,0.8,2.1,1,2.1,1,1.9,1,2.3,1,2,0,1.1,1,1.6,"Garissa","North Eastern","Garissa","Garissa",65,0.69,45,0,27.6,0.6,2540,0,32.3,257.8,149.5,6.4,2.4,22,2.3,0.8,38,5.1,0,0,0,0,1.5,2.1,1.1,2.1,0.3,1.8,0.6,1.9
"19-1990","1990","19",51361,1,28,0.8,2564.9,0.1,32.2,27,1.2,4964.6,0.1,31.3,27.6,0.7,2538.1,0,32.1,288.2,238.4,7,2.2,24,1.6,0.8,43.2,326.6,238.4,5.3,3,64.7,2.9,1.4,43.2,279.3,195.7,8.9,3,16.6,3,0.1,57.8,4.3,8.1,6.2,0.1,0,0,0,0,0,0,0,0,0,0,1.4,0.6,1.3,1,1.6,0.7,1.6,0.9,2,0.9,1.7,1.1,1.6,1.1,3,0.5,2.4,1,1.2,"Garissa",NA,NA,NA,NA,NA,NA,NA,27.2,0.6,2504.4,0,32.3,301.2,256.7,7.3,2.3,20.8,2,0.7,40.9,4.7,0,0,0,0,1,2.3,1,2,0,1.1,1,1.6
"19-1991","1991","19",51361,1,28.8,1,2383.4,2.3,33.4,27.3,1.7,4764.2,2.3,31.6,28.1,0.6,2578.8,0.3,32.9,264.5,166.2,7.7,2.9,20,2.7,0.4,47.8,342.7,166.2,6.3,3.9,56.8,5,1.5,50.1,141.7,75.4,5,3.2,19.2,2.6,0.6,31.5,6.4,10.3,6.7,1.6,0.7,0,0,0,0,0,0.3,0,0,1.7,2.1,0.5,1.9,0.6,2.4,1,1.4,1.2,2.2,0.9,2.2,0.7,2.4,1.1,2.5,0.6,2.4,0.5,2.4,"Garissa","North Eastern","Garissa","Garissa",210,1.07,224.82,0,27.6,0.7,2538.1,0,32.1,279.3,195.7,8.9,3,16.6,3,0.1,57.8,6.2,0,0,0,0,1.1,1.6,1.1,3,0.5,2.4,1,1.2
"19-1992","1992","19",51361,1,29.1,1,2055.6,3.5,33.6,27.6,1.8,4456.6,3.5,32,27.8,0.5,2552.9,0,32.2,171.3,120.2,6.5,3.5,23.6,2.5,1.2,45.4,217,120.2,4.9,4.4,59.8,4.3,1.9,45.4,291.2,164.5,7.6,2.5,22.9,2.3,0.8,41.7,6.6,10.6,5.8,2.1,1.2,0,0,0,0,0,0,0,0,1.1,2,0.3,2.7,0.9,1.9,0.9,1.8,1.3,1.9,0.8,2.4,1,1.8,1,1.5,0.7,2.1,0.6,1.9,"Garissa","North Eastern","Garissa","Garissa",180,1.8,324.72,0,28.1,0.6,2578.8,0.3,32.9,141.7,75.4,5,3.2,19.2,2.6,0.6,31.5,6.7,0,0.3,0,0,0.7,2.4,1.1,2.5,0.6,2.4,0.5,2.4
"19-1993","1993","19",51361,1,28.8,0.8,2372.5,3.1,33.6,27.4,1.7,4758,3.1,31.9,27.9,0.6,2566.1,0,32.4,105.3,65.9,3.4,3.1,21.5,2.8,0.6,21.9,158.7,65.9,2.7,3.7,60.9,4.3,1.3,22.2,240.2,165.6,7.9,3.2,21.1,2.9,0.9,46.4,6.5,10.4,6.5,1.8,1.3,0,0,0,0,0,0,0,0,1.3,2.3,0.7,1.9,0.9,2.5,0.8,1.7,1,2.2,1,1.7,0.5,2.6,1.2,2.1,0.9,2.4,0.8,2,"Garissa",NA,NA,NA,NA,NA,NA,NA,27.8,0.5,2552.9,0,32.2,291.2,164.5,7.6,2.5,22.9,2.3,0.8,41.7,5.8,0,0,0,0,1,1.8,1,1.5,0.7,2.1,0.6,1.9
"19-1994","1994","19",51361,1,29,1.1,2119.2,3.7,33.6,27.6,1.7,4526.2,3.7,32,27.4,0.7,2513.8,0,31.6,185.1,106.4,6.5,3.5,22.9,2.8,0.5,46.1,237.8,106.4,5,4.5,58.2,4.8,1.1,46.6,351.2,295.4,9.3,2.5,18.3,2.2,0.4,49.9,5.8,10.4,6.5,2.8,1.1,0,0,0,0,0,0,0,0,1.1,3.1,0.3,2.2,0.8,1.8,0.7,2.2,1.3,2.1,1,1.7,0.9,2.4,1,2.5,0.3,1.6,0.8,2.4,"Garissa","North Eastern","Garissa","Garissa",100,2,200,0,27.9,0.6,2566.1,0,32.4,240.2,165.6,7.9,3.2,21.1,2.9,0.9,46.4,6.5,0,0,0,0,0.5,2.6,1.2,2.1,0.9,2.4,0.8,2
"19-1995","1995","19",51361,1,28.7,0.9,2369.6,2,33.1,27.6,1.3,4806.3,2,32,27.8,0.5,2555.7,0.4,32.5,252.7,178.9,8.4,3,24.2,2.9,0.9,55.8,313.1,178.9,6.4,3.8,61.2,4.5,1.2,56,251.4,147.3,7.5,2.8,23.3,2.2,1,44.9,5.4,10,6.5,1.8,0.8,0,0,0,0,0,0.4,0,0,1,1.8,0.3,2.2,1.2,1.5,0.7,2.2,1,2,1.2,1.7,1.1,3,1,1.1,0.5,2.7,0.3,2.8,"Garissa","North Eastern","Garissa","Garissa",120,1.63,195,0,27.4,0.7,2513.8,0,31.6,351.2,295.4,9.3,2.5,18.3,2.2,0.4,49.9,6.5,0,0,0,0,0.9,2.4,1,2.5,0.3,1.6,0.8,2.4
"19-1996","1996","19",51361,1,28.8,0.9,2359.2,2.8,33.5,27.5,1.6,4765.6,2.8,31.8,28.1,0.8,2539.8,0.3,32.6,188.1,92.5,6.9,3.4,30.5,2.4,0.8,50.3,237.6,92.5,5,4.4,65.6,3.7,1.8,50.3,203.8,195.6,7.4,3.5,26.7,2.9,1.3,47.8,4.9,9,5.7,2.1,0.7,0,0,0,0,0,0.3,0,0,1,1.9,1,1.4,0.7,1.7,0.6,1.8,0.7,1.9,1,1.6,1.5,2.8,1.2,2.9,0.9,1.6,1,2.1,"Garissa","North Eastern","Garissa","Garissa",100,1,100,0,27.8,0.5,2555.7,0.4,32.5,251.4,147.3,7.5,2.8,23.3,2.2,1,44.9,6.5,0,0.4,0,0,1.1,3,1,1.1,0.5,2.7,0.3,2.8
"19-1997","1997","19",51361,1,28.4,1.1,2289.4,1.7,33,27.6,1.2,4746.6,1.7,31.9,26.9,0.7,2475.2,0,30.6,300.8,228.4,8.9,2.7,27.6,2.1,1.5,58.8,411.4,228.4,7.8,3.5,59.9,4.1,2.2,60,764,585.7,13.2,1.6,9.3,0.4,0,69.3,3.8,7.8,5.3,1.6,0.1,0,0,0,0,0,0,0,0,1.1,1.5,0,1.2,1,1.1,1.2,2.1,1,2.3,0.9,1.9,0.9,2.3,0.4,2.9,0,0.6,0,1.7,"Garissa","North Eastern","Garissa","Garissa",390,1.74,676.98,0,28.1,0.8,2539.8,0.3,32.6,203.8,195.6,7.4,3.5,26.7,2.9,1.3,47.8,5.7,0,0.3,0,0,1.5,2.8,1.2,2.9,0.9,1.6,1,2.1
"19-1998","1998","19",51361,1,28.9,0.8,2322.9,2.4,33.5,27.6,1.6,4733.7,2.4,32.1,27.9,0.7,2569.1,0,32.4,241.4,197.7,5.9,2.3,23.1,2.3,1,33.4,312.2,197.7,5.4,3.3,60.5,4.2,2,44,124.1,98.2,5.5,4,21.2,2.7,1,44.3,4.3,7.9,6.6,1.5,1.2,0,0,0,0,0,0,0,0,0.9,1.7,0.4,1.1,1,1.6,1.1,1.9,1,2,1,1.4,1,2.5,1.1,2.3,0.6,2.2,0.9,2.6,"Garissa","North Eastern","Garissa","Garissa",660,1.61,1060,0,26.9,0.7,2475.2,0,30.6,764,585.7,13.2,1.6,9.3,0.4,0,69.3,5.3,0,0,0,0,0.9,2.3,0.4,2.9,0,0.6,0,1.7
"19-1999","1999","19",51361,1,28.6,1.3,2133.9,2.6,33.3,27.3,1.7,4524.8,2.6,31.9,27.4,0.8,2522.2,0,31.9,173.9,123.1,5.9,3.3,23.7,2,0.7,42.2,233.7,123.1,4.4,4.1,64,3.4,0.9,42.2,256.9,198.4,6.6,2.6,20,2.5,0.4,35,7.1,11.5,6,2.3,0.3,0,0,0,0,0,0,0,0,0.8,3.7,0.5,2,0.9,1.6,0.9,1.4,0.7,2.2,1.1,2,1,2.5,1.1,2.9,0.4,1.6,0.9,2.3,"Garissa","North Eastern","Garissa","Garissa",380,1.21,460,0,27.9,0.7,2569.1,0,32.4,124.1,98.2,5.5,4,21.2,2.7,1,44.3,6.6,0,0,0,0,1,2.5,1.1,2.3,0.6,2.2,0.9,2.6
